pid,trial_id,error
1,1,0.65
2,1,2.2
3,1,2.5
4,1,1.25
5,1,2.2
6,1,2.6500000000000004
7,1,2.4000000000000004
8,1,2.1
9,1,2.75
10,1,2.05
11,1,2.1
12,1,1.0
13,1,1.55
14,1,1.4500000000000002
15,1,1.8
16,1,1.85
17,1,2.2
18,1,2.45
19,1,1.0
20,1,2.5
21,1,2.55
22,1,2.3
23,1,1.75
24,1,2.45
1,2,0.25
2,2,2.35
3,2,2.05
4,2,1.5499999999999998
5,2,1.85
6,2,3.05
7,2,2.3
8,2,2.1
9,2,2.6500000000000004
10,2,1.75
11,2,1.35
12,2,1.3
13,2,1.6
14,2,0.85
15,2,1.75
16,2,1.9
17,2,2.3499999999999996
18,2,2.45
19,2,0.2
20,2,2.55
21,2,2.8
22,2,2.5
23,2,1.85
24,2,2.8
1,3,0.1
2,3,2.45
3,3,2.45
4,3,2.1500000000000004
5,3,2.25
6,3,2.55
7,3,2.5
8,3,2.3499999999999996
9,3,2.35
10,3,1.75
11,3,2.15
12,3,1.1
13,3,1.9
14,3,1.0
15,3,2.3
16,3,2.0
17,3,2.2
18,3,2.3
19,3,1.7000000000000002
20,3,2.7
21,3,2.7
22,3,2.45
23,3,1.45
24,3,2.1500000000000004
1,4,0.1
2,4,2.25
3,4,2.3499999999999996
4,4,1.3
5,4,2.0
6,4,2.1
7,4,1.85
8,4,2.2
9,4,2.5
10,4,1.35
11,4,1.45
12,4,1.1
13,4,1.95
14,4,0.35
15,4,1.85
16,4,2.05
17,4,2.15
18,4,2.55
19,4,1.05
20,4,2.7
21,4,2.55
22,4,2.25
23,4,1.5
24,4,2.5
1,5,0.30000000000000004
2,5,2.7
3,5,2.0
4,5,2.25
5,5,2.3
6,5,2.45
7,5,2.05
8,5,2.15
9,5,2.4000000000000004
10,5,1.4500000000000002
11,5,2.4000000000000004
12,5,1.1
13,5,1.85
14,5,1.35
15,5,1.9
16,5,2.4
17,5,2.05
18,5,2.7
19,5,1.8
20,5,2.5
21,5,2.5
22,5,1.55
23,5,1.9000000000000001
24,5,2.45
