pid,trial_id,error
1,1,1.6127864406161798
2,1,4.1102469706161875
3,1,4.4294109393845105
4,1,2.163917848063109
5,1,10.125199123597447
6,1,1.2417813901754764
7,1,12.863744353594736
8,1,10.848248517500052
9,1,-1.5785439990356203
10,1,-6.4372956705914355
11,1,11.159754746170066
12,1,4.087339389329207
13,1,4.574684798954916
14,1,6.915869050253042
15,1,-4.105943514913383
16,1,-5.039421714534505
17,1,3.805389816606329
18,1,32.89465197781641
19,1,-1.4362423507337239
20,1,5.904237727797696
21,1,4.037570986114099
22,1,6.012860820478533
23,1,-3.706086474054362
24,1,2.2262971500976505
1,2,11.325405427381735
2,2,13.91160661084361
3,2,0.6204893638382423
4,2,-3.5513641152852653
5,2,-12.40590926901205
6,2,5.678127020397361
7,2,3.130141617863404
8,2,32.422822398596374
9,2,-0.6238430257368357
10,2,-3.492598528944068
11,2,7.75660311481478
12,2,2.1769803245912485
13,2,-2.662260995733405
14,2,0.7514482071286777
15,2,-2.339454896592482
16,2,-5.870402651220704
17,2,18.016738575409782
18,2,9.638278572359862
19,2,1.8376262100572918
20,2,11.505812705036671
21,2,-3.533463014865457
22,2,2.1790665578044113
23,2,3.1891949997412112
24,2,6.16164799204371
1,3,12.202709239620642
2,3,9.144084395000409
3,3,5.692941491771748
4,3,4.742822476816796
5,3,-6.571567391975382
6,3,3.613337619237016
7,3,1.4464171946138347
8,3,27.54854031667447
9,3,-6.852384426434331
10,3,-4.189746375166017
11,3,29.773368292064696
12,3,-2.3619358923649827
13,3,5.536322627040075
14,3,1.8895750572568382
15,3,1.148143999434124
16,3,-14.113616940568035
17,3,-2.3865436033630427
18,3,13.253884403506103
19,3,0.8580755305325525
20,3,18.441468775745903
21,3,3.077135681737289
22,3,-10.270987564537595
23,3,6.023514273371987
24,3,6.8870327042629444
1,4,5.380029137166349
2,4,7.623201351393333
3,4,3.89346534507375
4,4,0.8124540533548732
5,4,-4.151444636077041
6,4,5.993912428417381
7,4,0.1916794863101705
8,4,15.525207601639986
9,4,-2.5228587967549387
10,4,-5.0546908331738045
11,4,30.95528816482546
12,4,8.629616579749577
13,4,3.2454801932695787
14,4,10.795432858694216
15,4,-5.322734257257705
16,4,-9.641542431901044
17,4,13.497722693659469
18,4,34.88704186869911
19,4,2.7019134275153815
20,4,12.953473760495594
21,4,-1.0347353753492472
22,4,7.794011519140337
23,4,-2.677450177464193
24,4,4.304492298141826
1,5,10.273647826809363
2,5,5.998550263738372
3,5,3.882021253276875
4,5,2.514719792795786
5,5,-5.5260171515647265
6,5,3.876430931818395
7,5,-0.013084985803540228
8,5,21.89084971876941
9,5,5.776100869073339
10,5,-8.330401177488397
11,5,17.238720410079978
12,5,7.6149097561886485
13,5,0.5886856054984797
14,5,2.4108129074460303
15,5,-5.114146478318567
16,5,-6.921557582607015
17,5,6.846423031599262
18,5,10.34871030708073
19,5,6.093954157038086
20,5,9.152346485664452
21,5,7.547104954350802
22,5,6.422636296139498
23,5,8.533589047796227
24,5,9.98018406170179
