pid,trial_id,error
1,1,0.3
2,1,2.55
3,1,2.55
4,1,2.1
5,1,2.35
6,1,2.3
7,1,2.05
8,1,1.45
9,1,2.6
10,1,1.35
11,1,2.2
12,1,1.3
13,1,2.05
14,1,1.2
15,1,2.6
16,1,1.8
17,1,2.3499999999999996
18,1,2.3499999999999996
19,1,1.7
20,1,2.3499999999999996
21,1,2.55
22,1,2.35
23,1,0.75
24,1,1.85
1,2,0.5
2,2,0.5
3,2,2.3
4,2,2.2
5,2,2.1500000000000004
6,2,2.25
7,2,2.05
8,2,2.25
9,2,2.75
10,2,1.6
11,2,2.3
12,2,1.2
13,2,2.05
14,2,1.2999999999999998
15,2,2.5
16,2,2.35
17,2,1.7000000000000002
18,2,2.55
19,2,1.9000000000000001
20,2,2.15
21,2,2.9
22,2,0.8
23,2,0.5
24,2,2.8
1,3,0.1
2,3,0.30000000000000004
3,3,2.2
4,3,1.85
5,3,2.1
6,3,2.1
7,3,2.25
8,3,2.35
9,3,2.4
10,3,1.4500000000000002
11,3,2.1500000000000004
12,3,0.7
13,3,1.7999999999999998
14,3,0.85
15,3,2.3
16,3,2.45
17,3,1.65
18,3,2.8
19,3,1.8
20,3,2.5
21,3,2.45
22,3,2.2
23,3,1.9
24,3,2.5
1,4,0.25
2,4,0.44999999999999996
3,4,2.3
4,4,2.1
5,4,2.1500000000000004
6,4,2.55
7,4,1.65
8,4,2.05
9,4,2.2
10,4,1.35
11,4,2.45
12,4,1.1
13,4,1.65
14,4,0.35
15,4,1.9
16,4,2.4
17,4,2.2
18,4,2.3
19,4,2.1
20,4,2.6
21,4,2.65
22,4,2.1500000000000004
23,4,2.05
24,4,2.25
1,5,0.3
2,5,0.6000000000000001
3,5,2.15
4,5,1.8
5,5,2.2
6,5,2.75
7,5,2.5
8,5,2.0
9,5,2.75
10,5,1.2
11,5,2.1
12,5,1.4
13,5,2.3
14,5,0.25
15,5,1.9500000000000002
16,5,2.45
17,5,2.3
18,5,2.2
19,5,1.95
20,5,2.5999999999999996
21,5,2.55
22,5,1.6
23,5,2.0
24,5,2.6
