pid,trial_id,error
1,1,0.7
2,1,1.8
3,1,2.45
4,1,1.05
5,1,2.05
6,1,2.4000000000000004
7,1,2.3
8,1,2.25
9,1,2.7
10,1,1.1
11,1,2.1
12,1,1.2
13,1,2.0999999999999996
14,1,1.2999999999999998
15,1,1.9
16,1,1.4500000000000002
17,1,1.95
18,1,2.45
19,1,2.0999999999999996
20,1,2.5
21,1,2.5
22,1,1.9500000000000002
23,1,1.6
24,1,1.9500000000000002
1,2,0.65
2,2,2.0999999999999996
3,2,2.1500000000000004
4,2,1.8
5,2,2.1
6,2,2.4
7,2,2.6
8,2,2.25
9,2,2.55
10,2,1.15
11,2,2.3499999999999996
12,2,1.1
13,2,1.95
14,2,1.25
15,2,1.75
16,2,2.0999999999999996
17,2,2.05
18,2,2.5
19,2,2.2
20,2,2.75
21,2,2.8499999999999996
22,2,2.5
23,2,1.85
24,2,2.35
1,3,0.05
2,3,1.9
3,3,1.9
4,3,1.6500000000000001
5,3,2.25
6,3,2.2
7,3,2.6
8,3,2.75
9,3,2.55
10,3,1.75
11,3,2.25
12,3,0.7
13,3,2.2
14,3,0.35
15,3,1.85
16,3,2.15
17,3,1.65
18,3,2.5
19,3,1.5
20,3,2.3
21,3,2.3
22,3,2.1500000000000004
23,3,1.85
24,3,2.45
1,4,0.0
2,4,1.75
3,4,1.65
4,4,1.45
5,4,2.0
6,4,2.6
7,4,2.2
8,4,2.2
9,4,2.45
10,4,0.65
11,4,2.05
12,4,1.2
13,4,1.15
14,4,0.5
15,4,1.8
16,4,2.1500000000000004
17,4,2.05
18,4,2.65
19,4,1.75
20,4,2.2
21,4,2.55
22,4,2.55
23,4,1.95
24,4,2.4000000000000004
1,5,0.75
2,5,2.4
3,5,2.0
4,5,1.9500000000000002
5,5,2.05
6,5,2.55
7,5,2.4
8,5,2.05
9,5,2.45
10,5,1.45
11,5,2.35
12,5,0.9
13,5,2.05
14,5,0.1
15,5,2.2
16,5,2.0
17,5,1.7999999999999998
18,5,2.3
19,5,1.9
20,5,2.6
21,5,2.5999999999999996
22,5,2.4
23,5,1.85
24,5,1.45
