pid,trial_id,error
1,1,0.75
2,1,2.05
3,1,2.1500000000000004
4,1,2.05
5,1,2.0
6,1,2.35
7,1,2.0
8,1,1.9
9,1,2.5
10,1,1.7
11,1,2.05
12,1,1.1
13,1,1.1
14,1,1.75
15,1,2.15
16,1,1.75
17,1,1.7999999999999998
18,1,2.2
19,1,2.2
20,1,2.2
21,1,2.85
22,1,2.1500000000000004
23,1,1.15
24,1,2.1500000000000004
1,2,0.75
2,2,0.55
3,2,2.55
4,2,2.1
5,2,2.1
6,2,2.05
7,2,2.45
8,2,2.45
9,2,2.75
10,2,1.65
11,2,1.25
12,2,0.9
13,2,1.9500000000000002
14,2,0.9
15,2,1.9500000000000002
16,2,2.05
17,2,2.3
18,2,2.3
19,2,1.9500000000000002
20,2,2.6500000000000004
21,2,2.3499999999999996
22,2,2.3
23,2,1.8
24,2,2.45
1,3,0.0
2,3,1.75
3,3,2.4
4,3,1.25
5,3,2.2
6,3,2.3
7,3,2.15
8,3,2.0
9,3,2.45
10,3,1.5499999999999998
11,3,2.0999999999999996
12,3,0.9
13,3,0.95
14,3,0.8
15,3,2.1
16,3,2.1
17,3,2.2
18,3,2.1
19,3,2.05
20,3,2.5999999999999996
21,3,2.8499999999999996
22,3,2.1
23,3,2.4
24,3,2.4000000000000004
1,4,0.15
2,4,2.5
3,4,2.45
4,4,0.75
5,4,2.1
6,4,2.45
7,4,2.1
8,4,1.9
9,4,2.4000000000000004
10,4,1.4
11,4,1.1
12,4,1.2
13,4,1.85
14,4,0.9
15,4,1.75
16,4,2.05
17,4,1.85
18,4,2.3
19,4,1.75
20,4,2.5
21,4,2.8499999999999996
22,4,2.7
23,4,2.0999999999999996
24,4,2.85
1,5,0.1
2,5,2.2
3,5,2.55
4,5,2.1500000000000004
5,5,2.3499999999999996
6,5,3.0
7,5,2.0
8,5,1.75
9,5,2.45
10,5,1.0499999999999998
11,5,1.9
12,5,1.1
13,5,1.5
14,5,0.4
15,5,2.1500000000000004
16,5,1.9
17,5,2.1500000000000004
18,5,2.5
19,5,1.8
20,5,2.7
21,5,2.55
22,5,2.25
23,5,0.95
24,5,2.45
