pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,tapping_err_short,tapping_err_long,tapping_err_ave
1,7,7,1,inc,0.2,low,4.6449032425880326,10.739345724384018,7.369105978999999
1,7,7,1,inc,0.8,high,4.734839664565191,10.37364582220715,7.354606907749999
2,6,2,1,dec,0.8,high,3.0307549238204863,8.904729866319233,5.641410454249999
2,6,2,1,dec,0.2,low,-2.715158462524414,7.788607478141784,1.9531819545
3,6,1,2,inc,0.2,low,3.969998682538654,3.346555293710141,3.735367743750001
3,6,1,2,inc,0.8,high,0.925223827362024,2.6937278360128527,1.69588298775
4,6,6,3,dec,0.8,high,19.771200418472304,1.613499323527035,11.495707134
4,6,6,3,dec,0.2,low,-1.94382905960083,7.182854413986207,1.978831025
5,7,1,1,inc,0.2,low,27.270145316918672,8.639971514542891,18.732587126
5,7,1,1,inc,0.8,high,7.212571402390827,-2.6648883880288627,2.69762132
6,5,6,2,dec,0.8,high,6.671697696050005,5.89090912430374,6.143746271
6,5,6,2,dec,0.2,low,3.8737266924646168,0.9708658191892898,2.556733391
7,6,1,1,inc,0.2,low,5.868044098218253,4.696763455867737,5.1618522125
7,6,1,1,inc,0.8,high,7.985696792602561,0.4713375949196889,4.645981592499999
8,6,2,2,dec,0.8,high,15.69792603453006,12.159908355938072,14.0907620125
8,6,2,2,dec,0.2,low,7.158948183059636,13.998216349217609,10.3731887885
9,6,2,4,inc,0.2,low,13.210238615671791,-3.1842136383056667,6.548152487500001
9,6,2,4,inc,0.8,high,-1.43898655970892,7.198726054694925,2.056702736249999
10,3,4,1,dec,0.8,high,5.476580262184134,-3.1674510240554508,1.5093040774999995
10,3,4,1,dec,0.2,low,8.367370764414446,3.473105720347825,6.048739165749999
11,5,6,3,inc,0.2,low,9.646537899971008,26.08118705727439,16.871694044999998
11,5,6,3,inc,0.8,high,4.802729189395935,17.70564772188664,10.8783964675
12,6,7,5,dec,0.8,high,2.991874151759683,3.877837624814776,3.36320607875
12,6,7,5,dec,0.2,low,3.9658164978027344,-6.718291309144762,-0.6923110079999999
13,7,7,2,inc,0.2,low,9.93423561255143,2.745184898376471,6.65542645975
13,7,7,2,inc,0.8,high,4.514674743016553,4.401770275500079,4.4644949795
14,6,6,2,dec,0.8,high,2.4991234640280524,6.9810897111892665,4.516248243500001
14,6,6,2,dec,0.2,low,7.645597855250037,0.0273988478713724,4.259731631499999
15,6,5,4,inc,0.2,low,14.329830408096322,16.384755864187547,15.0814195075
15,6,5,4,inc,0.8,high,2.153048018614455,0.1961305737495475,1.2833069300000002
16,5,1,1,dec,0.8,high,-5.522928237915039,-7.01209286848704,-6.115271380500001
16,5,1,1,dec,0.2,low,8.377673029899588,8.008672650213612,7.9889273125
17,5,5,1,inc,0.2,low,14.09881591796875,6.905861695607504,10.0643424725
17,5,5,1,inc,0.8,high,15.280558400683931,14.682106447440596,14.779348464999998
18,3,6,1,dec,0.8,high,7.051334381103516,18.49886410766177,12.038811426
18,3,6,1,dec,0.2,low,9.502140904466284,23.893090668651823,15.797101184499995
19,6,7,5,inc,0.2,low,1.9272335370381584,0.8646022942330998,1.4549529842500002
19,6,7,5,inc,0.8,high,2.6506435871124268,3.936363259951275,3.18612494975
20,6,1,2,dec,0.8,high,-12.383876343568083,22.485126058260583,4.103439797500002
20,6,1,2,dec,0.2,low,10.870552294784108,22.857423226038637,16.245487389
21,7,6,1,inc,0.2,low,-2.1149321893850823,2.248862923847321,-0.1538201907499985
21,7,6,1,inc,0.8,high,7.174146672089897,4.958628570591959,5.63580971725
22,5,1,1,dec,0.8,high,-6.148944795131696,5.35402140683598,-1.0365153750000005
22,5,1,1,dec,0.2,low,0.2908263603846164,7.187086608674794,3.38029098
23,5,5,4,inc,0.2,low,3.085759878158578,12.563052773475643,7.155218357499999
23,5,5,4,inc,0.8,high,9.869060516357422,9.517133037249248,9.258514910000002
24,6,1,3,dec,0.8,high,5.153391639391561,5.6506163279215365,5.3367655975
24,6,1,3,dec,0.2,low,1.5459078550338743,7.153260707855223,3.974551823499999
